0 0 0
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 0
80 0 0
90 0 0
100 0 0
109.755 0.960736 0.19635
119.134 3.80602 0.392699
127.779 8.42652 0.589049
135.355 14.6447 0.785398
141.573 22.2215 0.981748
146.194 30.8658 1.1781
149.039 40.2455 1.37445
150 50 1.5708
150 60 1.5708
150 70 1.5708
150 80 1.5708
150 90 1.5708
150 100 1.5708
150 110 1.5708
150 120 1.5708
150 130 1.5708
148.637 140.353 1.8326
144.641 150 2.0944
138.284 158.284 2.35619
130 164.641 2.61799
120.353 168.637 2.87979
110 170 3.14159
