0 0 0 1 0 0
5 0 0 0 0 0
10 0 0 0 0 0
15 0 0 0 0 0
20 0 0 0 0 0
25 0 0 0 0 0
30 0 0 0 0 0
35 0 0 0 0 0
40 0 0 0 0 0
45 0 0 0 0 0
50 0 0 0 0 0
55 0 0 0 0 0
60 0 0 0 0 0
65 0 0 0 0 0
70 0 0 0 0 0
75 0 0 0 0 0
80 0 0 0 0 0
85 0 0 0 0 0
90 0 0 0 0 0
95 0 0 0 0 0
100 0 0 0 0 0
105.207 0.54731 0 0 0 0
110.329 1.63593 0 0 0 0
115.309 3.25394 0 0 0 0
120.092 5.38361 0 0 0 0
124.626 8.0016 0 0 0 0
128.862 11.0792 0 0 0 0
132.754 14.5828 0 0 0 0
136.257 18.4739 0 0 0 0
139.335 22.7099 0 0 0 0
141.953 27.2444 0 0 0 0
144.082 32.0277 0 0 0 0
145.7 37.0074 0 0 0 0
146.789 42.129 0 0 0 0
147.336 47.3363 0 0 0 0
147.336 52.5723 0 0 0 0
147.336 57.5723 0 0 0 0
147.336 62.5723 0 0 0 0
147.336 67.5723 0 0 0 0
147.336 72.5723 0 0 0 0
147.336 77.5723 0 0 0 0
147.336 82.5723 0 0 0 0
147.336 87.5723 0 0 0 0
147.336 92.5723 0 0 0 0
147.336 97.5723 0 0 0 0
147.336 102.572 0 0 0 0
147.336 107.572 0 0 0 0
147.336 112.572 0 0 0 0
147.336 117.572 0 0 0 0
147.336 122.572 0 0 0 0
147.336 127.572 0 0 0 0
147.336 132.572 0 0 0 0
147.336 137.763 0.683434 0 0 0
147.336 142.821 2.03861 0 0 0
147.336 147.658 4.04233 0 0 0
147.336 152.193 6.66033 0 0 0
147.336 156.347 9.84779 0 0 0
147.336 160.049 13.5502 0 0 0
147.336 163.237 17.7042 0 0 0
147.336 165.855 22.2387 0 0 0
147.336 167.859 27.0761 0 0 0
147.336 169.214 32.1337 0 0 0
147.336 169.897 37.3249 0 0 0
147.336 169.897 42.5609 0 0 0
